Lb,growth_rate,condition
1602.670702508815,84.31437975885848,glycerol
1381.818268930374,74.72557632558387,glycerol
1442.9930180691103,99.72860289200725,glycerol
2057.289175791611,100.70951357425449,glycerol
1599.2581853580548,79.8436583750091,glycerol
1750.2797185209529,72.17764913539247,glycerol
1760.628260048582,81.0871749990328,glycerol
1696.5618198453546,77.50870142906888,glycerol
1619.2574980396835,76.88768090804295,glycerol
1705.1121973468616,78.68271606313535,glycerol
2041.344941354031,83.25719325077598,glycerol
1960.9227801456807,80.81901041230714,glycerol
1678.6944770494888,89.28412768705087,glycerol
1438.112793989115,90.31304815325812,glycerol
2162.0515845158266,120.55996459965792,glycerol
1532.7119485175324,84.75328539960358,glycerol
1812.9299520062261,85.54508225635628,glycerol
1884.9804750334756,126.594378197507,glycerol
1503.907310407243,98.06144242028832,glycerol
1972.1099268052735,82.2241079421143,glycerol
1382.7370724684158,77.38635135336989,glycerol
1603.0652908725879,72.45736022694616,glycerol
1601.461825579226,71.82931222613762,glycerol
1452.0190654545897,76.85971265851451,glycerol
1652.7702059437252,73.55343030466398,glycerol
1531.3540152770017,92.4539668816808,glycerol
1485.2507271180025,84.41801689577053,glycerol
1855.5795189159976,107.42908228578789,glycerol
1628.8662134069184,132.7502919626358,glycerol
1489.3578078679004,81.27296346935339,glycerol
1386.8217215425145,79.19736108844373,glycerol
2226.3531128119976,98.05855750279464,glycerol
1993.3019193446175,79.41321488891006,glycerol
1885.6676483512715,106.12498075841889,glycerol
1679.9929764952396,76.82137460067187,glycerol
1808.3257223191895,120.92477903353291,glycerol
1681.0490678039569,95.95983624237132,glycerol
1713.226764581168,83.14406848799632,glycerol
1749.0546190493003,101.36415618523162,glycerol
1945.19270299978,82.7942398917113,glycerol
1557.1404080817865,82.3421152689771,glycerol
1687.4109195235685,84.21355301179213,glycerol
1769.9508609342145,138.93670930876036,glycerol
1622.879423981619,136.66467101863068,glycerol
1754.4848239034654,100.13842006268258,glycerol
1631.3348470643548,80.58886632153623,glycerol
1807.1716657891589,80.81956509496302,glycerol
1752.791341615876,151.7355509489356,glycerol
1585.4007079927733,140.6577278224284,glycerol
1639.7254239015326,109.27289304554404,glycerol
1828.3772356960937,102.25245297294065,glycerol
1575.108471149055,87.73510522507117,glycerol
1511.9939311416144,90.02904069193129,glycerol
1844.071823885123,87.38231045052439,glycerol
1639.2741923952758,90.72355241862012,glycerol
1744.4688352591531,95.33858708637058,glycerol
2368.277831772945,99.72040276084076,glycerol
1964.0044345535257,77.08596464221411,glycerol
1606.2053476416759,87.63145933168855,glycerol
1738.86778975139,83.21935043756923,glycerol
1760.2615887894194,93.96120336345878,glycerol
2104.4697198079753,95.52980684201556,glycerol
1759.47634518505,91.840232900985,glycerol
1838.8224028819743,161.97833867108614,glycerol
1702.9791660397934,89.17030716679807,glycerol
1580.5905141343496,89.38643764132271,glycerol
1607.785419243215,70.17936489018254,glycerol
1817.868442764566,85.75162582216264,glycerol
1760.1011104814881,95.32586959890926,glycerol
1533.5645188292306,113.16668543185946,glycerol
1610.8491386922542,85.70043848894845,glycerol
1611.7814561115742,80.55017020457419,glycerol
1398.174563751501,70.69083043400344,glycerol
2087.590357747496,166.39981024721985,glycerol
1524.886259373877,108.91426159369227,glycerol
1771.3961172509128,86.73446365517125,glycerol
1640.9654706894971,80.70067275955101,glycerol
1689.595998342265,87.00888421709598,glycerol
1730.0846120953297,88.76961006471718,glycerol
1765.4785975349032,81.24995851832006,glycerol
1586.6361386884523,87.97468767737548,glycerol
2422.8712090414388,116.4515012037677,glycerol
1915.562161613757,92.65132401363785,glycerol
1537.8233872599924,84.80225240433994,glycerol
1625.7790103619388,78.15456003303908,glycerol
2060.940613632119,145.19292289511802,glycerol
1612.7372280531806,113.53461558384087,glycerol
1496.5763228700273,110.93262906011248,glycerol
1529.9438280828917,97.04577131867968,glycerol
1661.9465943054784,97.14761090487738,glycerol
1574.4853141549124,95.60897897258393,glycerol
1696.4172764915015,78.24367252172223,glycerol
1724.6929939552065,69.28235535261146,glycerol
2063.8669106581224,100.62274021501877,glycerol
1888.0655379546852,90.78700542672507,glycerol
1625.4014492055906,101.282231224341,glycerol
1647.3221955776357,93.415719325544,glycerol
1806.7159825010124,150.90762723839333,glycerol
1493.6273610726557,112.77513100706938,glycerol
2200.772557282919,76.31844822969849,glycerol
1490.3949652473618,92.7141351688837,glycerol
1510.2327864677923,80.25495740079806,glycerol
