"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.200793750E-1,9.310302213E0,1.772431865E1,1.007388484E1,2.241241519E1
6.300303751E-1,6.595400809E0,1.651325270E1,8.276796321E0,1.961357142E1
6.399813751E-1,3.570758359E0,1.494658015E1,7.184748691E0,1.696381994E1
6.499323751E-1,7.165107894E-1,1.322790688E1,6.733606768E0,1.486042961E1
6.598833750E-1,-1.690213113E0,1.153683130E1,6.368409559E0,1.328577951E1
6.698343750E-1,-3.549324220E0,1.015361280E1,5.942517081E0,1.228849318E1
6.797853750E-1,-4.582257085E0,9.233359287E0,5.647522128E0,1.175357435E1
6.897373750E-1,-4.916754658E0,8.602808999E0,5.634551250E0,1.139872654E1
6.996883750E-1,-4.990502080E0,8.094058553E0,5.650944504E0,1.106128693E1
7.096393751E-1,-5.021099390E0,7.510885915E0,5.270343390E0,1.045951078E1
7.195903751E-1,-5.226660011E0,6.727567763E0,4.490633554E0,9.630365133E0
7.295413751E-1,-5.645417131E0,5.866754708E0,3.368170170E0,8.811022397E0
7.394923751E-1,-6.114688346E0,5.085632186E0,2.174252642E0,8.245025340E0
7.494433750E-1,-6.079682236E0,4.329586325E0,1.201052594E0,7.559787111E0
7.593943750E-1,-5.534004284E0,3.646709889E0,6.425411725E-1,6.658570086E0
7.693463750E-1,-4.452158875E0,3.112830741E0,5.161226159E-1,5.456905390E0
7.792973750E-1,-2.871334888E0,2.669186118E0,7.028820992E-1,3.982858498E0
7.892483750E-1,-1.393238293E0,2.386769695E0,9.106257775E-1,2.909814740E0
7.991993751E-1,-3.165074444E-1,2.287597409E0,1.078145875E0,2.548661883E0
8.091503751E-1,1.012274652E0,2.607746207E0,1.792846366E0,3.322549976E0
8.191013751E-1,2.355763080E0,2.963247563E0,3.435016709E0,5.111731174E0
8.290523750E-1,4.137543005E0,3.598200511E0,5.768609194E0,7.958841691E0
8.390033750E-1,6.492222596E0,4.765952627E0,8.175614932E0,1.147623362E1
8.489553750E-1,9.505080568E0,5.900903032E0,1.018166072E1,1.512724126E1
8.589063750E-1,1.339033434E1,6.266989603E0,1.106639591E1,1.846730437E1
8.688573750E-1,1.692537031E1,5.611590403E0,1.072756145E1,2.080958149E1
8.788083751E-1,1.862730650E1,4.887416253E0,9.733047134E0,2.157766419E1
8.887593751E-1,1.937725752E1,3.767121894E0,7.979344953E0,2.129176513E1
8.987103751E-1,2.017659178E1,1.883815008E0,5.794417634E0,2.107650091E1
9.086613751E-1,2.047360695E1,-3.225546348E-1,3.607201130E0,2.079145312E1
9.186123750E-1,1.967646773E1,-2.620868821E0,1.603330944E0,1.991489407E1
9.285643750E-1,1.787937512E1,-5.215632747E0,-3.456777415E-1,1.862778496E1
9.385153750E-1,1.540830202E1,-7.795534805E0,-2.168379114E0,1.740367783E1
9.484663750E-1,1.277906876E1,-1.015815725E1,-3.560632735E0,1.670840694E1
9.584173750E-1,9.031225135E0,-1.224833804E1,-4.306936843E0,1.581564154E1
9.683683751E-1,5.327408706E0,-1.341920322E1,-4.301531677E0,1.506517419E1
9.783193751E-1,2.805136805E0,-1.413239864E1,-3.403859528E0,1.480472031E1
9.882703751E-1,7.141871059E-1,-1.473557986E1,-1.954863503E0,1.488183014E1
9.982213750E-1,-1.241924339E0,-1.505074361E1,-7.181019630E-1,1.511895928E1
1.008173375E0,-2.508285361E0,-1.513227368E1,-1.718933760E-1,1.533971152E1
1.018124375E0,-2.968029708E0,-1.513053706E1,-7.481629372E-2,1.541907745E1
1.028075375E0,-3.441357138E0,-1.514006217E1,-1.903713814E-1,1.552741649E1
1.038026375E0,-4.250418241E0,-1.506089906E1,-3.601785439E-1,1.565332119E1
1.047977375E0,-4.856430103E0,-1.499882853E1,-6.773788834E-1,1.578000674E1
1.057928375E0,-5.039666054E0,-1.482766649E1,-8.044189990E-1,1.568135891E1
1.067879375E0,-4.756895290E0,-1.451082108E1,-9.299938023E-1,1.529891727E1
1.077830333E0,-4.279536206E0,-1.491941866E1,-1.403890750E0,1.558442788E1
1.087782333E0,-3.462305665E0,-1.492694987E1,-1.865842422E0,1.543641024E1
1.097733333E0,-2.896842781E0,-1.465748913E1,-2.159705354E0,1.509629136E1
1.107684333E0,-2.596497918E0,-1.445577890E1,-2.430910910E0,1.488692960E1
1.117635333E0,-2.896277063E0,-1.422930571E1,-2.851768935E0,1.479845086E1
1.127586333E0,-3.750437449E0,-1.420881356E1,-3.080271106E0,1.501480049E1
1.137537333E0,-4.486077989E0,-1.441652537E1,-2.855352108E0,1.536600583E1
1.147488333E0,-4.804996825E0,-1.490182439E1,-2.353035353E0,1.583316582E1
1.157440333E0,-4.876633987E0,-1.525454598E1,-1.818822037E0,1.611802859E1
1.167391333E0,-4.715295274E0,-1.560726523E1,-1.648210225E0,1.638710879E1
1.177342333E0,-4.178050761E0,-1.625835386E1,-2.031760674E0,1.690911677E1
1.187293333E0,-3.173756390E0,-1.699849325E1,-2.748212991E0,1.750925975E1
1.197244333E0,-1.481163459E0,-1.773900920E1,-3.394010478E0,1.812141274E1
1.207195333E0,1.155329706E0,-1.823191310E1,-3.603131468E0,1.862041886E1
1.217146333E0,4.436522251E0,-1.811233287E1,-2.890866342E0,1.887051774E1
1.227097333E0,7.906505603E0,-1.668884693E1,-1.357225292E0,1.851681676E1
1.237049333E0,1.337522748E1,-1.398793265E1,-7.144164629E-3,1.935352735E1
1.247000333E0,2.068780683E1,-1.025156185E1,1.206887530E0,2.312004432E1
1.256951333E0,2.737089365E1,-5.554650802E0,2.879600512E0,2.807689555E1
1.266902333E0,3.041178025E1,-1.177427503E-1,4.859858910E0,3.079786470E1
1.276853333E0,2.982560858E1,5.546561179E0,6.248020651E0,3.097368286E1
1.286804333E0,2.862960038E1,1.073731344E1,6.672976404E0,3.129652587E1
1.296755333E0,3.017692801E1,1.526558786E1,7.666873841E0,3.467659313E1
1.306706333E0,3.248872996E1,1.838509144E1,9.406023472E0,3.849678480E1
1.316658333E0,3.049001132E1,2.020312177E1,1.042328287E1,3.803224613E1
1.326609333E0,2.405826823E1,2.068926863E1,9.549185531E0,3.313658176E1
1.336560333E0,1.590745894E1,1.955875042E1,6.905804345E0,2.613966529E1
1.346511333E0,8.764855810E0,1.800469732E1,4.275053730E0,2.047603251E1
1.356462333E0,3.931301769E0,1.659436294E1,2.898606302E0,1.729826388E1
1.366413333E0,1.122649618E0,1.552132168E1,2.248781253E0,1.572351062E1
1.376364333E0,-6.033578110E-1,1.477172150E1,1.736656963E0,1.488569025E1
1.386315333E0,-1.743363134E0,1.436137209E1,1.594231653E0,1.455437728E1
1.396266333E0,-2.734225867E0,1.413721089E1,2.056908379E0,1.454536335E1
1.406218333E0,-3.339339012E0,1.384720420E1,3.348266541E0,1.463240028E1
1.416169333E0,-4.170794367E0,1.343823473E1,4.833455808E0,1.487763333E1
